tradeday_ID,Symbol,Open,High,Low,Close,Date,Weekday
1,SPX,17.76,17.76,17.76,17.76,1928-01-04,Wednesday
2,SPX,17.72,17.72,17.72,17.72,1928-01-05,Thursday
3,SPX,17.55,17.55,17.55,17.55,1928-01-06,Friday
4,SPX,17.66,17.66,17.66,17.66,1928-01-09,Monday
5,SPX,17.5,17.5,17.5,17.5,1928-01-10,Tuesday
6,SPX,17.37,17.37,17.37,17.37,1928-01-11,Wednesday
7,SPX,17.35,17.35,17.35,17.35,1928-01-12,Thursday
8,SPX,17.47,17.47,17.47,17.47,1928-01-13,Friday
9,SPX,17.58,17.58,17.58,17.58,1928-01-16,Monday
10,SPX,17.29,17.29,17.29,17.29,1928-01-17,Tuesday
11,SPX,17.3,17.3,17.3,17.3,1928-01-18,Wednesday
12,SPX,17.26,17.26,17.26,17.26,1928-01-19,Thursday
13,SPX,17.38,17.38,17.38,17.38,1928-01-20,Friday
14,SPX,17.48,17.48,17.48,17.48,1928-01-23,Monday
15,SPX,17.64,17.64,17.64,17.64,1928-01-24,Tuesday
16,SPX,17.71,17.71,17.71,17.71,1928-01-25,Wednesday
17,SPX,17.52,17.52,17.52,17.52,1928-01-26,Thursday
18,SPX,17.63,17.63,17.63,17.63,1928-01-27,Friday
19,SPX,17.69,17.69,17.69,17.69,1928-01-30,Monday
20,SPX,17.49,17.49,17.49,17.49,1928-01-31,Tuesday
21,SPX,17.57,17.57,17.57,17.57,1928-02-01,Wednesday
22,SPX,17.53,17.53,17.53,17.53,1928-02-02,Thursday
23,SPX,17.63,17.63,17.63,17.63,1928-02-03,Friday
24,SPX,17.4,17.4,17.4,17.4,1928-02-06,Monday
25,SPX,17.45,17.45,17.45,17.45,1928-02-07,Tuesday
26,SPX,17.44,17.44,17.44,17.44,1928-02-08,Wednesday
27,SPX,17.49,17.49,17.49,17.49,1928-02-09,Thursday
28,SPX,17.55,17.55,17.55,17.55,1928-02-10,Friday
29,SPX,17.54,17.54,17.54,17.54,1928-02-14,Tuesday
30,SPX,17.44,17.44,17.44,17.44,1928-02-15,Wednesday
31,SPX,17.4,17.4,17.4,17.4,1928-02-16,Thursday
32,SPX,17.35,17.35,17.35,17.35,1928-02-17,Friday
33,SPX,17.04,17.04,17.04,17.04,1928-02-20,Monday
34,SPX,16.95,16.95,16.95,16.95,1928-02-21,Tuesday
35,SPX,17.11,17.11,17.11,17.11,1928-02-23,Thursday
36,SPX,17.13,17.13,17.13,17.13,1928-02-24,Friday
37,SPX,17.18,17.18,17.18,17.18,1928-02-27,Monday
38,SPX,17.11,17.11,17.11,17.11,1928-02-28,Tuesday
39,SPX,17.16,17.16,17.16,17.16,1928-02-29,Wednesday
40,SPX,17.26,17.26,17.26,17.26,1928-03-01,Thursday
41,SPX,17.3,17.3,17.3,17.3,1928-03-02,Friday
42,SPX,17.3,17.3,17.3,17.3,1928-03-05,Monday
43,SPX,17.57,17.57,17.57,17.57,1928-03-06,Tuesday
44,SPX,17.67,17.67,17.67,17.67,1928-03-07,Wednesday
45,SPX,17.58,17.58,17.58,17.58,1928-03-08,Thursday
46,SPX,17.64,17.64,17.64,17.64,1928-03-09,Friday
47,SPX,17.93,17.93,17.93,17.93,1928-03-12,Monday
48,SPX,18.0,18.0,18.0,18.0,1928-03-13,Tuesday
49,SPX,17.92,17.92,17.92,17.92,1928-03-14,Wednesday
50,SPX,17.93,17.93,17.93,17.93,1928-03-15,Thursday
51,SPX,18.07,18.07,18.07,18.07,1928-03-16,Friday
52,SPX,18.26,18.26,18.26,18.26,1928-03-19,Monday
53,SPX,18.36,18.36,18.36,18.36,1928-03-20,Tuesday
54,SPX,18.46,18.46,18.46,18.46,1928-03-21,Wednesday
55,SPX,18.65,18.65,18.65,18.65,1928-03-22,Thursday
56,SPX,18.6,18.6,18.6,18.6,1928-03-23,Friday
57,SPX,18.78,18.78,18.78,18.78,1928-03-26,Monday
58,SPX,19.05,19.05,19.05,19.05,1928-03-27,Tuesday
59,SPX,18.94,18.94,18.94,18.94,1928-03-28,Wednesday
60,SPX,18.89,18.89,18.89,18.89,1928-03-29,Thursday
61,SPX,18.95,18.95,18.95,18.95,1928-03-30,Friday
62,SPX,19.28,19.28,19.28,19.28,1928-04-02,Monday
63,SPX,18.91,18.91,18.91,18.91,1928-04-03,Tuesday
64,SPX,19.02,19.02,19.02,19.02,1928-04-04,Wednesday
65,SPX,18.99,18.99,18.99,18.99,1928-04-05,Thursday
66,SPX,19.23,19.23,19.23,19.23,1928-04-09,Monday
