tradeday_ID,Symbol,Open,High,Low,Close,Date,Weekday
1,VIX,18.71,18.71,17.4,18.07,1986-01-03,Friday
2,VIX,19.1,19.1,17.72,17.96,1986-01-06,Monday
3,VIX,18.17,18.17,17.05,17.05,1986-01-07,Tuesday
4,VIX,18.11,18.11,17.3,17.39,1986-01-08,Wednesday
5,VIX,21.15,21.15,16.63,19.97,1986-01-09,Thursday
6,VIX,21.66,21.66,19.11,20.2,1986-01-10,Friday
7,VIX,21.44,21.44,18.35,18.45,1986-01-13,Monday
8,VIX,19.57,19.57,18.29,18.8,1986-01-14,Tuesday
9,VIX,18.68,18.68,17.67,18.06,1986-01-15,Wednesday
10,VIX,18.87,18.87,17.25,18.87,1986-01-16,Thursday
11,VIX,19.48,19.48,18.29,18.58,1986-01-17,Friday
12,VIX,19.87,19.87,17.99,17.99,1986-01-20,Monday
13,VIX,18.49,18.49,16.78,17.09,1986-01-21,Tuesday
14,VIX,17.61,17.61,16.01,16.86,1986-01-22,Wednesday
15,VIX,17.52,17.52,16.29,16.66,1986-01-23,Thursday
16,VIX,17.48,17.48,16.76,17.14,1986-01-24,Friday
17,VIX,17.67,17.67,16.83,17.22,1986-01-27,Monday
18,VIX,18.11,18.11,17.01,17.38,1986-01-28,Tuesday
19,VIX,18.24,18.24,17.45,17.47,1986-01-29,Wednesday
20,VIX,19.09,19.09,17.84,18.76,1986-01-30,Thursday
21,VIX,19.96,19.96,19.01,19.12,1986-01-31,Friday
22,VIX,20.52,20.52,19.08,19.58,1986-02-03,Monday
23,VIX,20.75,20.75,19.01,19.41,1986-02-04,Tuesday
24,VIX,21.24,21.24,19.78,20.82,1986-02-05,Wednesday
25,VIX,21.68,21.68,20.63,20.72,1986-02-06,Thursday
26,VIX,22.08,22.08,20.92,21.07,1986-02-07,Friday
27,VIX,22.63,22.63,18.71,22.12,1986-02-10,Monday
28,VIX,21.34,21.34,20.39,20.4,1986-02-11,Tuesday
29,VIX,21.25,21.25,20.23,20.23,1986-02-12,Wednesday
30,VIX,20.86,20.86,19.38,19.53,1986-02-13,Thursday
31,VIX,20.26,20.26,18.13,18.13,1986-02-14,Friday
32,VIX,19.56,19.56,17.88,17.96,1986-02-18,Tuesday
33,VIX,20.95,20.95,19.35,19.79,1986-02-19,Wednesday
34,VIX,21.42,21.42,19.91,20.72,1986-02-20,Thursday
35,VIX,21.81,21.81,20.5,20.76,1986-02-21,Friday
36,VIX,21.73,21.73,20.61,21.27,1986-02-24,Monday
37,VIX,22.31,22.31,21.02,21.52,1986-02-25,Tuesday
38,VIX,22.61,22.61,21.58,22.05,1986-02-26,Wednesday
39,VIX,22.96,22.96,22.09,22.38,1986-02-27,Thursday
40,VIX,23.01,23.01,21.11,21.39,1986-02-28,Friday
41,VIX,22.36,22.36,21.06,21.59,1986-03-03,Monday
42,VIX,22.16,22.16,21.09,21.17,1986-03-04,Tuesday
43,VIX,22.07,22.07,19.88,19.94,1986-03-05,Wednesday
44,VIX,21.13,21.13,20.08,20.42,1986-03-06,Thursday
45,VIX,22.4,22.4,21.21,21.66,1986-03-07,Friday
46,VIX,22.56,22.56,21.32,21.39,1986-03-10,Monday
47,VIX,22.63,22.63,21.3,21.49,1986-03-11,Tuesday
48,VIX,22.39,22.39,21.02,21.87,1986-03-12,Wednesday
49,VIX,23.72,23.72,21.8,23.14,1986-03-13,Thursday
50,VIX,25.08,25.08,23.42,24.29,1986-03-14,Friday
51,VIX,25.52,25.52,23.78,24.83,1986-03-17,Monday
52,VIX,26.49,26.49,25.39,25.45,1986-03-18,Tuesday
53,VIX,26.95,26.95,25.48,26.27,1986-03-19,Wednesday
54,VIX,26.79,26.79,25.13,25.82,1986-03-20,Thursday
55,VIX,27.52,27.52,26.33,26.52,1986-03-21,Friday
